,,,,,,,,,,SIM 1,SIM 1,SIM 2,SIM 2,,
Roll No.,Names,Location Name,Coordinates,Mobile Company,Model id Number,Network Provider(SIM1),Network Provider(SIM2),Processor,RAM,dB Level,asu,db Level,asu,Uplink Frequency,Downlink Frequency
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-92,55,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-81,53,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-81,43,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-103,49,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-102,48,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-84,47,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-98,43,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
,Janu,College Gate,29.11'2''N / 79.44'15''E,Vivo,VIVO 1725,JIO,N/A,OCTA-CORE,4 GB,-94,55,N/A,N/A,7700kbps,2600kbps
18,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-92,47,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-82,59,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-91,44,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-82,51,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-109,58,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-86,40,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-104,32,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-89,51,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-83,51,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-82,44,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-103,59,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-89,45,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-110,58,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-93,56,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-85,57,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-89,36,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-91,59,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-92,37,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-86,30,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-100,37,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-91,57,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-100,51,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-84,36,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-102,40,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-108,40,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-102,33,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-108,32,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-83,41,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
,,College Gate,29.11'2''N / 79.44'15''E,Realme,RMX3241,JIO,AIRTEL,Dimensity 700 Octa Core,4 GB,-80,48,-99,44,7700kbps,2600kbps
19,Kabir Singh,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-102,58,-93,40,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-107,59,-103,56,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-83,60,-99,60,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-87,36,-87,36,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-97,47,-87,55,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-80,50,-83,31,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-100,30,-81,31,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-100,58,-83,50,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-90,31,-101,54,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-109,52,-96,44,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-82,41,-108,45,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-106,32,-82,52,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-105,41,-82,38,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-104,51,-85,55,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-92,57,-104,57,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-82,52,-91,47,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-87,55,-80,37,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-105,33,-109,36,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-85,46,-110,35,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-81,54,-94,54,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-106,39,-83,37,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-89,48,-95,35,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-88,36,-109,42,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-100,51,-90,30,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-108,55,-93,43,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-102,31,-104,45,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-104,54,-82,35,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-98,55,-85,43,7700kbps,2600kbps
,,,,,,,,,,,,,,,
,Kajal Bohra,College Gate,29.11'2''N / 79.44'15''E,Oppo,CPH1933,JIO,N/A,Qualcomm Snapdragon 665,4 GB,-83,49,N/A,N/A,7700kbps,2600kbps
20,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-96,39,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-95,39,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-101,60,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-102,37,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-89,50,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-81,40,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-92,40,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-101,56,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-99,34,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-107,50,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-101,38,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-99,39,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-105,35,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-107,59,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-108,50,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-110,44,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-99,35,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-81,51,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-95,52,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-82,34,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-93,30,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-95,31,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-86,44,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-103,40,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-87,31,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-102,57,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-83,51,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-108,30,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
21,Kartik Joshi,College Gate,29.11'2''N / 79.44'15''E,REALME,RMX2001,JIO,N/A,HELIO G90T,8 GB,-100,37,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-85,56,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-97,55,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-103,52,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-93,51,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-110,39,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-106,36,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-106,36,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-94,50,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-109,51,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-81,51,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-104,54,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-91,51,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-100,50,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-95,47,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-81,46,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-110,51,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-101,32,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-101,51,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-110,44,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-87,45,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-86,54,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-82,44,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-93,55,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-107,39,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-80,47,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-81,35,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-97,47,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-86,53,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
,Kashvi Joshi,College Gate,29.11'2''N / 79.44'15''E,,SM-A047F/DS,AIRTEL,N/A,2GHz OCTA-CORE,6 GB,-98,51,N/A,N/A,7700kbps,2600kbps
22,,Petrol Pump,29.21'22''N / 79.33'25''E,Samsung,,,,,,-84,32,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-97,48,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-84,38,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-110,48,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-101,55,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-80,53,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-98,50,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-100,46,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-96,44,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-100,41,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-106,41,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-97,46,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-86,37,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-98,59,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-103,34,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-105,44,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-91,30,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-89,31,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-104,50,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-104,34,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-108,59,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-100,31,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-98,35,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-88,55,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-80,43,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-98,59,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-92,55,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-109,60,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
23,KRITIK SRIVASTAVA,College Gate,29.11'2''N / 79.44'15''E,MOTOROLA,ONE FUSION-PLUS,JIO,N/A,SNAPDRAGON 730,6 GB,-95,50,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-96,33,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-89,51,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-110,42,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-110,44,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-109,57,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-87,50,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-107,48,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-83,60,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-97,42,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-102,46,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-85,59,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-92,37,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-110,55,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-100,40,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-86,54,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-100,44,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-82,40,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-107,54,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-96,33,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-104,56,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-100,36,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-96,52,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-88,50,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-87,37,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-101,54,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-90,33,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-95,60,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-105,38,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
24,Kushagra Lal,College Gate,29.11'2''N / 79.44'15''E,Samsung,S20 FE 5G,JIO,N/A,OCTA-CORE,6 GB,-102,47,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-108,53,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-92,44,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-80,44,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-81,37,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-97,56,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-90,50,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-90,37,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-95,32,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-109,49,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-108,55,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-98,33,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-95,44,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-105,54,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-84,46,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-102,34,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-86,53,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-89,43,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-103,31,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-89,51,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-109,30,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-110,56,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-104,44,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-87,58,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-108,46,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-102,39,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-105,45,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-107,42,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-109,47,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
,Lokesh Joshi,College Gate,29.11'2''N / 79.44'15''E,,M2006C3MII,VI,AIRTEL,OCTA-CORE MAX 2.30 GHZ,4 GB,-92,56,-85,48,7700kbps,2600kbps
25,,Petrol Pump,29.21'22''N / 79.33'25''E,Redmi,,,,,,-101,59,-102,51,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-88,34,-80,41,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-106,43,-90,53,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-82,54,-99,46,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-85,34,-89,45,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-105,45,-98,33,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-89,51,-87,31,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-108,37,-86,54,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-80,57,-104,42,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-90,52,-110,34,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-106,47,-99,41,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-107,49,-83,41,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-81,58,-97,39,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-106,50,-89,59,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-86,46,-85,32,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-98,32,-93,43,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-81,42,-99,39,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-100,54,-106,56,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-104,32,-108,52,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-94,39,-83,33,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-85,58,-95,39,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-92,50,-87,38,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-95,55,-105,49,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-98,44,-99,42,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-90,57,-97,30,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-81,53,-101,33,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-85,52,-83,46,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-104,59,-92,46,7700kbps,2600kbps
,,,,,,,,,,,,,,,
26,Love Kholiya,College Gate,29.11'2''N / 79.44'15''E,Redmi,MEI7S,AIRTEL,N/A,OCTA-CORE MAX,4GB,-88,57,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-102,57,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-103,59,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-91,59,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-110,49,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-87,42,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-94,45,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-93,52,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-92,52,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-100,60,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-95,51,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-81,55,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-84,51,,,7700kbps,2600kbps
