,,,,,,,,,,SIM 1,SIM 1,SIM 2,SIM 2,,
Roll No.,Names,Location Name,Coordinates,Mobile Company,Model id Number,Network Provider(SIM1),Network Provider(SIM2),Processor,RAM,dB Level,asu,db Level,asu,Uplink Frequency,Downlink Frequency
,,Tikonia ,29.21'2''N / 79.13'18''E,Xiaomi,,,,,,-91,59,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,Xiaomi,,,,,,-97,58,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,Xiaomi,,,,,,-83,32,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,Xiaomi,,,,,,-84,42,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,Xiaomi,,,,,,-105,44,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,Xiaomi,,,,,,-100,35,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,Xiaomi,,,,,,-88,60,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,Xiaomi,,,,,,-95,40,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,Xiaomi,,,,,,-96,50,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,Xiaomi,,,,,,-108,49,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,Xiaomi,,,,,,-83,31,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,Xiaomi,,,,,,-83,35,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,Xiaomi,,,,,,-89,54,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,Xiaomi,,,,,,-107,59,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,Xiaomi,,,,,,-96,52,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,Xiaomi,,,,,,-94,48,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,Xiaomi,,,,,,-90,56,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,Xiaomi,,,,,,-103,60,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,Xiaomi,,,,,,-81,56,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,Xiaomi,,,,,,-109,39,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,Xiaomi,,,,,,-90,50,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,Xiaomi,,,,,,-80,48,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,Xiaomi,,,,,,-103,43,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,Xiaomi,,,,,,-90,53,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,Xiaomi,,,,,,-101,57,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,Xiaomi,,,,,,-85,59,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
5,Aryan Raj,College Gate,29.11'2''N / 79.44'15''E,Iqoo,Z3 5G (2011),JIO,N/A,Snapdragon 768G Octa Core,6 GB,-89,30,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-103,52,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-103,48,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-105,40,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-86,33,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-108,51,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-91,60,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-97,52,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-96,44,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-110,58,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-88,50,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-110,53,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-105,52,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-110,40,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-96,57,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-108,34,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-97,55,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-95,58,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-99,35,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-88,34,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-87,58,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-106,46,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-104,48,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-98,34,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-89,41,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-98,52,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-97,55,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-83,42,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-107,52,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
6,AYUSH BHAGAT,College Gate,29.11'2''N / 79.44'15''E,REALME,RMX3370,JIO,AIRTEL,Qualcomm Snapdragon 870 Octa-core,8 GB,-80,47,-91,60,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-86,46,-109,50,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-104,44,-92,41,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-82,47,-90,41,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-105,49,-101,31,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-85,38,-85,43,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-90,56,-102,30,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-96,58,-95,43,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-101,48,-93,31,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-84,31,-103,49,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-100,45,-84,41,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-87,37,-87,34,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-105,40,-84,55,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-107,43,-97,42,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-87,35,-89,58,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-80,46,-97,49,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-108,41,-91,36,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-100,34,-102,53,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-107,47,-110,45,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-102,45,-106,58,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-85,45,-82,49,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-86,47,-90,47,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-93,36,-94,60,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-86,53,-104,34,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-83,44,-100,38,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-82,58,-96,51,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-84,44,-105,55,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-97,48,-110,51,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-96,44,-99,45,7700kbps,2600kbps
,,,,,,,,,,,,,,,
7,Chinmay Pathak,College Gate,29.11'2''N / 79.44'15''E,Redme,M2003J15S1,JIO,N/A,OCTA-CORE,6 GB,-107,38,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-98,58,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-87,35,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-90,32,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-93,54,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-100,60,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-103,57,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-99,37,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-100,39,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-110,55,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-105,34,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-107,46,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-83,34,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-101,56,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-81,32,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-88,55,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-100,46,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-97,41,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-101,44,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-88,45,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-86,50,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-108,45,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-86,35,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-84,43,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-83,49,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-108,32,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-91,48,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-100,56,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-99,48,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
8,DARSHITA TRIPATHI,College Gate,29.11'2''N / 79.44'15''E,Motorola,MOTO G82 5G,JIO,N/A,OCTA-CORE SNAP DRAGON,6 GB,-103,53,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-108,36,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-104,36,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-92,41,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-95,34,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-87,41,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-102,42,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-97,39,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-85,47,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-92,41,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-101,60,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-91,45,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-110,31,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-100,47,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-96,48,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-103,55,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-82,33,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-96,59,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-86,40,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-87,33,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-92,43,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-82,37,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-108,54,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-100,36,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-107,38,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-101,47,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-100,43,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-98,56,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-105,33,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
9,Devansh Gupta,College Gate,29.11'2''N / 79.44'15''E,Oppo,CPH 2239,AIRTEL,N/A,OCTA-CORE HELLO G35,4 GB,-93,56,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-90,39,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-103,30,,,7700kbps,2600kbps
